character,original binary,binary
a,1100001,22
b,1100010,23
c,1100011,24
d,1100100,25
e,1100101,26
f,1100110,27
g,1100111,28
h,1101000,29
i,1101001,32
j,1101010,33
k,1101011,34
l,1101100,35
m,1101101,36
n,1101110,37
o,1101111,38
p,1110000,39
q,1110001,42
r,1110010,43
s,1110011,44
t,1110100,45
u,1110101,46
v,1110110,47
w,1110111,48
x,1111000,49
y,1111001,52
z,1111010,53
,,
A,1000001,54
B,1000010,55
C,1000011,56
D,1000100,57
E,1000101,58
F,1000110,59
G,1000111,62
H,1001000,63
I,1001001,64
J,1001010,65
K,1001011,66
L,1001100,67
M,1001101,68
N,1001110,69
O,1001111,72
P,1010000,73
Q,1010001,74
R,1010010,75
S,1010011,75
T,1010100,77
U,1010101,78
V,1010110,79
W,1010111,82
X,1011000,83
Y,1011001,84
Z,1011010,85
,,86
.,101110,87
",",101100,88
-,101101,89
!,100001,92
,100000,93
"""",100010,94
#,(else)   0100011,95
\n,,96
" ",,97
',,98
